epoch,step,train_loss,val_loss
0,3,,0.04382411018013954
1,7,,0.01486821100115776
2,11,,-0.019571315497159958
3,15,,-0.06306896358728409
4,19,,-0.12123675644397736
5,23,,-0.2027900516986847
6,27,,-0.3202824890613556
7,31,,-0.480540007352829
8,35,,-0.6836979389190674
9,39,,-0.8641282320022583
10,43,,-0.9569851756095886
11,47,,-0.9670920968055725
12,49,-0.6344736814498901,
12,51,,-0.9322407245635986
13,55,,-0.9179421663284302
14,59,,-0.9395119547843933
15,63,,-1.0007778406143188
16,67,,-1.062207579612732
17,71,,-1.1056666374206543
18,75,,-1.1005014181137085
19,79,,-1.0958759784698486
20,83,,-1.102860689163208
21,87,,-1.101263165473938
22,91,,-1.111006736755371
23,95,,-1.155747652053833
24,99,-0.9657497406005859,
24,99,,-1.1894724369049072
25,103,,-1.1934654712677002
26,107,,-1.1680512428283691
27,111,,-1.1699172258377075
28,115,,-1.1990793943405151
29,119,,-1.2300221920013428
30,123,,-1.2259613275527954
31,127,,-1.181936502456665
32,131,,-1.1933186054229736
33,135,,-1.2187305688858032
34,139,,-1.2251310348510742
35,143,,-1.248201847076416
36,147,,-1.3166637420654297
37,149,-1.1486709117889404,
37,151,,-1.2765737771987915
38,155,,-1.3186805248260498
39,159,,-1.3515360355377197
40,163,,-1.345968246459961
41,167,,-1.301010251045227
42,171,,-1.4383512735366821
43,175,,-1.1907594203948975
44,179,,-1.2328009605407715
45,183,,-1.4009311199188232
46,187,,-1.2471020221710205
47,191,,-1.2709912061691284
48,195,,-1.2713613510131836
49,199,-1.4449509382247925,
49,199,,-1.3304128646850586
50,203,,-1.3156143426895142
51,207,,-1.2830616235733032
52,211,,-1.2736848592758179
53,215,,-1.1926285028457642
54,219,,-1.2504115104675293
55,223,,-1.1696282625198364
56,227,,-1.2004905939102173
57,231,,-1.0865085124969482
58,235,,-1.0532782077789307
59,239,,-1.006150245666504
