epoch,step,train_loss,val_loss
0,3,,-0.0016229108441621065
1,7,,-0.028175190091133118
2,11,,-0.05210258066654205
3,15,,-0.07821878790855408
4,19,,-0.11050888895988464
5,23,,-0.15188002586364746
6,27,,-0.20896655321121216
7,31,,-0.2927998900413513
8,35,,-0.41266104578971863
9,39,,-0.5713074207305908
10,43,,-0.749912679195404
11,47,,-0.873294472694397
12,49,-0.635684609413147,
12,51,,-0.8945366144180298
13,55,,-0.867313802242279
14,59,,-0.8503299951553345
15,63,,-0.8503772616386414
16,67,,-0.8738332390785217
17,71,,-0.9308275580406189
18,75,,-0.9851269721984863
19,79,,-1.0168296098709106
20,83,,-1.038883090019226
21,87,,-1.0457545518875122
22,91,,-1.04026198387146
23,95,,-1.0298396348953247
24,99,-0.9343403577804565,
24,99,,-1.038114309310913
25,103,,-1.0508127212524414
26,107,,-1.0872043371200562
27,111,,-1.1139203310012817
28,115,,-1.1278550624847412
29,119,,-1.0991501808166504
30,123,,-1.0749927759170532
31,127,,-1.137198567390442
32,131,,-1.1789891719818115
33,135,,-1.1524474620819092
34,139,,-1.1720118522644043
