epoch,step,train_loss,val_loss
0,4,,0.1145046129822731
1,9,,0.08456233888864517
2,14,,0.04752882197499275
3,19,,-0.0023749335668981075
4,24,,-0.0720863938331604
5,29,,-0.16904745995998383
6,34,,-0.31133344769477844
7,39,,-0.4113266170024872
8,44,,-0.47050997614860535
9,49,-0.5414339303970337,
9,49,,-0.5579524636268616
10,54,,-0.6343017220497131
11,59,,-0.6214118599891663
12,64,,-0.6128151416778564
13,69,,-0.654985785484314
14,74,,-0.7084119319915771
15,79,,-0.7192068696022034
16,84,,-0.7249915599822998
17,89,,-0.6984126567840576
18,94,,-0.7406182289123535
19,99,-0.5621254444122314,
19,99,,-0.7654345631599426
20,104,,-0.6799306273460388
21,109,,-0.7806015610694885
22,114,,-0.7570065259933472
23,119,,-0.7952111959457397
24,124,,-0.7750701308250427
25,129,,-0.8203759789466858
26,134,,-0.7794826030731201
27,139,,-0.7577821016311646
28,144,,-0.9007874131202698
29,149,-1.1134345531463623,
29,149,,-0.8283481597900391
30,154,,-0.8765363693237305
31,159,,-0.8936534523963928
32,164,,-0.8970205783843994
33,169,,-0.8718702793121338
34,174,,-0.8675779104232788
