epoch,step,train_loss,val_loss
0,4,,0.10810555517673492
1,9,,0.07357557862997055
2,14,,0.040789760649204254
3,19,,0.0049986024387180805
4,24,,-0.04062619432806969
5,29,,-0.09918231517076492
6,34,,-0.17295724153518677
7,39,,-0.2641802132129669
8,44,,-0.38320136070251465
9,49,-0.6285234093666077,
9,49,,-0.4993261992931366
10,54,,-0.5621727108955383
11,59,,-0.6434716582298279
12,64,,-0.7295742034912109
13,69,,-0.7141625285148621
14,74,,-0.6233055591583252
15,79,,-0.6497372388839722
16,84,,-0.7217225432395935
17,89,,-0.769631028175354
18,94,,-0.7238814830780029
19,99,-0.9105748534202576,
19,99,,-0.7774906158447266
20,104,,-0.7881962656974792
21,109,,-0.7970481514930725
22,114,,-0.7763782739639282
23,119,,-0.7902510762214661
24,124,,-0.8112590909004211
25,129,,-0.7562438249588013
26,134,,-0.7886335253715515
27,139,,-0.7994147539138794
28,144,,-0.8400557041168213
29,149,-1.024123191833496,
29,149,,-0.7447777986526489
30,154,,-0.7571858167648315
31,159,,-0.7563300132751465
32,164,,-0.723589301109314
33,169,,-0.7474097609519958
34,174,,-0.7402410507202148
35,179,,-0.7353971004486084
36,184,,-0.7562141418457031
37,189,,-0.7185977697372437
38,194,,-0.745951235294342
39,199,-1.0346027612686157,
39,199,,-0.7391407489776611
40,204,,-0.7274342179298401
41,209,,-0.6709099411964417
42,214,,-0.5858389735221863
43,219,,-0.602283775806427
44,224,,-0.6567422747612
45,229,,-0.6971173286437988
46,234,,-0.6769073605537415
47,239,,-0.568808376789093
48,244,,-0.470464289188385
49,249,-1.2883076667785645,
49,249,,-0.4389365315437317
