epoch,step,train_loss,val_loss
0,4,,0.10746704787015915
1,9,,0.08507516235113144
2,14,,0.060429297387599945
3,19,,0.03355975076556206
4,24,,-0.0020214389078319073
5,29,,-0.05324774608016014
6,34,,-0.12904584407806396
7,39,,-0.2464803010225296
8,44,,-0.44606781005859375
9,49,-0.43888354301452637,
9,49,,-0.7046332955360413
10,54,,-0.6676100492477417
11,59,,-0.5722655057907104
12,64,,-0.6283569931983948
13,69,,-0.7346790432929993
14,74,,-0.751014769077301
15,79,,-0.7406306862831116
16,84,,-0.7344302535057068
17,89,,-0.7838311791419983
18,94,,-0.733715832233429
19,99,-0.8198358416557312,
19,99,,-0.7860832214355469
20,104,,-0.8396042585372925
21,109,,-0.7924327254295349
22,114,,-0.8527117371559143
23,119,,-0.8764083385467529
24,124,,-0.8894115090370178
25,129,,-0.9260013103485107
26,134,,-0.8936991095542908
27,139,,-0.8709161877632141
28,144,,-0.9174211621284485
29,149,-1.0765013694763184,
29,149,,-0.9355480074882507
30,154,,-0.892802357673645
31,159,,-0.9153015613555908
32,164,,-0.9146599769592285
33,169,,-0.8819319009780884
34,174,,-0.9447214603424072
