epoch,step,train_loss,val_loss
0,3,,0.024836786091327667
1,7,,0.0050790258683264256
2,11,,-0.015551800839602947
3,15,,-0.04390440136194229
4,19,,-0.08350060135126114
5,23,,-0.1386622190475464
6,27,,-0.21779178082942963
7,31,,-0.33488401770591736
8,35,,-0.498239666223526
9,39,,-0.708084762096405
10,43,,-0.9376122355461121
11,47,,-1.1151267290115356
12,49,-0.6266352534294128,
12,51,,-1.0950422286987305
13,55,,-1.0367873907089233
14,59,,-1.0086076259613037
15,63,,-1.023375153541565
16,67,,-1.1009324789047241
17,71,,-1.1891151666641235
18,75,,-1.1940776109695435
19,79,,-1.1577900648117065
20,83,,-1.184007167816162
21,87,,-1.2267255783081055
22,91,,-1.211970329284668
23,95,,-1.2299741506576538
24,99,-1.2053563594818115,
24,99,,-1.1970213651657104
25,103,,-1.1767865419387817
26,107,,-1.171291708946228
27,111,,-1.1650992631912231
28,115,,-0.8963847756385803
29,119,,-1.2954524755477905
30,123,,-1.1011921167373657
31,127,,-0.8979110717773438
32,131,,-0.9759624004364014
33,135,,-0.6763929128646851
34,139,,-0.8258220553398132
