epoch,step,train_loss,val_loss
0,4,,-0.0530114509165287
1,9,,-0.09765641391277313
2,14,,-0.14996935427188873
3,19,,-0.220915749669075
4,24,,-0.32428693771362305
5,29,,-0.48733359575271606
6,34,,-0.7410821318626404
7,39,,-1.0962334871292114
8,44,,-1.283925175666809
9,49,-0.6961512565612793,
9,49,,-1.2594462633132935
10,54,,-1.182361125946045
11,59,,-1.2241727113723755
12,64,,-1.3425042629241943
13,69,,-1.3935576677322388
14,74,,-1.3825457096099854
15,79,,-1.4220225811004639
16,84,,-1.4428941011428833
17,89,,-1.4850246906280518
18,94,,-1.4979889392852783
19,99,-1.1476283073425293,
19,99,,-1.4909121990203857
20,104,,-1.5015110969543457
21,109,,-1.577854871749878
22,114,,-1.5871387720108032
23,119,,-1.5589438676834106
24,124,,-1.583032250404358
25,129,,-1.6741366386413574
26,134,,-1.6567009687423706
27,139,,-1.5363446474075317
28,144,,-1.6349581480026245
29,149,-1.4391626119613647,
29,149,,-1.7243503332138062
30,154,,-1.7090426683425903
31,159,,-1.679099202156067
32,164,,-1.6641433238983154
33,169,,-1.6183661222457886
34,174,,-1.6246212720870972
