epoch,step,train_loss,val_loss
0,3,,-0.01457360852509737
1,7,,-0.05205995589494705
2,11,,-0.09848859906196594
3,15,,-0.16002917289733887
4,19,,-0.24526727199554443
5,23,,-0.3661308288574219
6,27,,-0.5431329011917114
7,31,,-0.8042953610420227
8,35,,-1.1361207962036133
9,39,,-1.3360326290130615
10,43,,-1.2787361145019531
11,47,,-1.182504415512085
12,49,-0.8540847301483154,
12,51,,-1.1293519735336304
13,55,,-1.15529465675354
14,59,,-1.2261101007461548
15,63,,-1.2959686517715454
16,67,,-1.3016636371612549
17,71,,-1.2613508701324463
18,75,,-1.2836631536483765
19,79,,-1.3233784437179565
20,83,,-1.3641492128372192
21,87,,-1.378865122795105
22,91,,-1.394066333770752
23,95,,-1.4374111890792847
24,99,-1.2531832456588745,
24,99,,-1.3932244777679443
25,103,,-1.4226207733154297
26,107,,-1.480345368385315
27,111,,-1.5053917169570923
28,115,,-1.4724467992782593
29,119,,-1.4433550834655762
30,123,,-1.500816822052002
31,127,,-1.5600663423538208
32,131,,-1.5724601745605469
33,135,,-1.578300952911377
34,139,,-1.612815499305725
35,143,,-1.646065354347229
36,147,,-1.5915263891220093
37,149,-1.3299400806427002,
37,151,,-1.5334339141845703
38,155,,-1.5964967012405396
39,159,,-1.602708101272583
40,163,,-1.579876184463501
41,167,,-1.6419048309326172
42,171,,-1.618399739265442
43,175,,-1.6080377101898193
44,179,,-1.6109930276870728
45,183,,-1.6212929487228394
46,187,,-1.605474591255188
47,191,,-1.5670844316482544
48,195,,-1.5490024089813232
49,199,-1.56233811378479,
49,199,,-1.532387137413025
50,203,,-1.4747650623321533
51,207,,-1.4448120594024658
52,211,,-1.4387264251708984
53,215,,-1.4307700395584106
54,219,,-1.447848916053772
55,223,,-1.4697651863098145
56,227,,-1.4650193452835083
57,231,,-1.352421760559082
58,235,,-1.180293321609497
59,239,,-1.1366779804229736
