epoch,step,train_loss,val_loss
0,3,,-0.03721868246793747
1,7,,-0.056282397359609604
2,11,,-0.07330721616744995
3,15,,-0.09155670553445816
4,19,,-0.11445561051368713
5,23,,-0.14605934917926788
6,27,,-0.18990130722522736
7,31,,-0.25097113847732544
8,35,,-0.3336144685745239
9,39,,-0.4438735246658325
10,43,,-0.5938830375671387
11,47,,-0.7779459953308105
12,49,-0.6673107743263245,
12,51,,-0.9169235825538635
13,55,,-0.9906650185585022
14,59,,-0.9861395359039307
15,63,,-0.9778894782066345
16,67,,-0.9742810726165771
17,71,,-0.9900113940238953
18,75,,-1.0156856775283813
19,79,,-1.0857664346694946
20,83,,-1.1165685653686523
21,87,,-1.1185375452041626
22,91,,-1.0974637269973755
23,95,,-1.0844686031341553
24,99,-0.9491867423057556,
24,99,,-1.1252816915512085
25,103,,-1.153194785118103
26,107,,-1.1465184688568115
27,111,,-1.1644448041915894
28,115,,-1.209666132926941
29,119,,-1.2233381271362305
30,123,,-1.1946403980255127
31,127,,-1.2017621994018555
32,131,,-1.232326626777649
33,135,,-1.251983880996704
34,139,,-1.2231155633926392
