epoch,step,train_loss,val_loss
0,4,,0.04593244194984436
1,9,,0.018842486664652824
2,14,,-0.016311410814523697
3,19,,-0.06288795173168182
4,24,,-0.12743040919303894
5,29,,-0.21352969110012054
6,34,,-0.35114508867263794
7,39,,-0.46236029267311096
8,44,,-0.4857123792171478
9,49,-0.5634937286376953,
9,49,,-0.541294276714325
10,54,,-0.6057929992675781
11,59,,-0.613882839679718
12,64,,-0.5902872681617737
13,69,,-0.6206099390983582
14,74,,-0.634678304195404
15,79,,-0.6257301568984985
16,84,,-0.6709422469139099
17,89,,-0.726580798625946
18,94,,-0.7323330044746399
19,99,-0.9743072390556335,
19,99,,-0.7075137495994568
20,104,,-0.7351913452148438
21,109,,-0.7543808221817017
22,114,,-0.7154422998428345
23,119,,-0.7502931356430054
24,124,,-0.7841932773590088
25,129,,-0.7594876885414124
26,134,,-0.7719411849975586
27,139,,-0.7493139505386353
28,144,,-0.751746416091919
29,149,-0.9742374420166016,
29,149,,-0.8329325318336487
30,154,,-0.7337633371353149
31,159,,-0.8372683525085449
32,164,,-0.77824866771698
33,169,,-0.872564435005188
34,174,,-0.7920534014701843
