epoch,step,train_loss,val_loss
0,2,,0.08406919240951538
1,5,,0.0596015602350235
2,8,,0.03556826710700989
3,11,,0.010917049832642078
4,14,,-0.017668897286057472
5,17,,-0.05015590786933899
6,20,,-0.08975048363208771
7,23,,-0.13672448694705963
8,26,,-0.1900433599948883
9,29,,-0.24908819794654846
10,32,,-0.31893089413642883
11,35,,-0.4046051502227783
12,38,,-0.5075424313545227
13,41,,-0.6310115456581116
14,44,,-0.7687399387359619
15,47,,-0.9409015774726868
16,49,-0.739383339881897,
16,50,,-1.0577332973480225
17,53,,-1.0923177003860474
18,56,,-1.1025086641311646
19,59,,-1.0976858139038086
20,62,,-1.1104629039764404
21,65,,-1.1527860164642334
22,68,,-1.217003345489502
23,71,,-1.3218308687210083
24,74,,-1.4417747259140015
25,77,,-1.46499764919281
26,80,,-1.4169697761535645
27,83,,-1.3876067399978638
28,86,,-1.3669407367706299
29,89,,-1.3921791315078735
30,92,,-1.4673101902008057
31,95,,-1.5507707595825195
32,98,,-1.6340845823287964
33,99,-1.226531744003296,
33,101,,-1.6255524158477783
34,104,,-1.6098772287368774
