epoch,step,train_loss,val_loss
0,3,,0.04332871735095978
1,7,,0.004504104144871235
2,11,,-0.03792376443743706
3,15,,-0.08606994897127151
4,19,,-0.1458377093076706
5,23,,-0.22627414762973785
6,27,,-0.3390481770038605
7,31,,-0.4916384816169739
8,35,,-0.6799086928367615
9,39,,-0.8986019492149353
10,43,,-1.051802158355713
11,47,,-1.069871425628662
12,49,-0.6772077083587646,
12,51,,-0.9712331295013428
13,55,,-0.9323866367340088
14,59,,-0.9530185461044312
15,63,,-1.0229922533035278
16,67,,-1.086708426475525
17,71,,-1.1307504177093506
18,75,,-1.1284661293029785
19,79,,-1.0767935514450073
20,83,,-1.087091326713562
21,87,,-1.1476091146469116
22,91,,-1.1477171182632446
23,95,,-1.1698991060256958
24,99,-0.995213508605957,
24,99,,-1.2010176181793213
25,103,,-1.166917324066162
26,107,,-1.2032580375671387
27,111,,-1.2356079816818237
28,115,,-1.227617621421814
29,119,,-1.3203198909759521
30,123,,-1.360233187675476
31,127,,-1.3848023414611816
32,131,,-1.4093995094299316
33,135,,-1.40132474899292
34,139,,-1.4304356575012207
