epoch,step,train_loss,val_loss
0,3,,-0.004276469815522432
1,7,,-0.040882498025894165
2,11,,-0.08326690644025803
3,15,,-0.13475807011127472
4,19,,-0.19999326765537262
5,23,,-0.28860849142074585
6,27,,-0.41058170795440674
7,31,,-0.5670623779296875
8,35,,-0.7521888613700867
9,39,,-0.9468253254890442
10,43,,-1.0278109312057495
11,47,,-1.0791898965835571
12,49,-0.7296072244644165,
12,51,,-1.077689528465271
13,55,,-1.0599381923675537
14,59,,-1.067880630493164
15,63,,-1.1065293550491333
16,67,,-1.153530478477478
17,71,,-1.160032868385315
18,75,,-1.1913849115371704
19,79,,-1.2276952266693115
20,83,,-1.2558940649032593
21,87,,-1.2935339212417603
22,91,,-1.326829195022583
23,95,,-1.3474185466766357
24,99,-1.1150500774383545,
24,99,,-1.342259407043457
25,103,,-1.3884605169296265
26,107,,-1.4783042669296265
27,111,,-1.4637759923934937
28,115,,-1.4367491006851196
29,119,,-1.4592845439910889
30,123,,-1.4157906770706177
31,127,,-1.464409351348877
32,131,,-1.4883304834365845
33,135,,-1.5327802896499634
34,139,,-1.522411823272705
